full_name,a,e,i,om,w,q,ad,per_y,H,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T
"  2059 Baboquivari (1963 UA)",2.646513289215633,.5293703280598167,11.03153323365697,201.00457530386,191.2606178529743,1.245527681088889,4.047498897342378,4.30545764208078,15.8,,,,,,,,,,
"  2061 Anza (1960 UA)",2.264497542299398,.5370187377938066,3.773534665574594,207.6284845302335,156.4793961093143,1.048419930396598,3.480575154202199,3.40773631786231,16.56,2.6,,,11.50,,.825,.350,,,TCG:
"  2062 Aten (1976 AA)",.96697877727841,.1827654566646706,18.93444465044568,108.5731489536298,147.9660890208134,.7902484594640766,1.143709095092743,0.950897303949908,16.80,1.1,,0.26,40.77,,.930,.460,,Sr,S
"  2063 Bacchus (1977 HB)",1.077814615994869,.3493904147222468,9.432757640589209,33.11603318350261,55.29190261651052,.7012365203187227,1.454392711671016,1.11898510413577,17.2,,1.1x1.1x2.6,,14.904,,,,,Sq,
"  2100 Ra-Shalom (1978 RA)",.8320441784080613,.4364813093074482,15.75730430550872,170.8380793862339,356.0461848680059,.4688724460148707,1.195215910801252,0.758975543298398,16.05,2.3,,0.13,19.797,,.712,.310,,Xc,C
"  2101 Adonis (1936 CA)",1.874468563227583,.7638142387709158,1.331046493533175,349.8593930696671,43.23657848856253,.4427227845058943,3.306214341949271,2.56640648574581,18.8,0.6,,,,,,,,,
"  2102 Tantalus (1975 YA)",1.290040399996682,.2990741948603884,64.00769256838889,94.37315266731714,61.54433367372859,.9042226060303009,1.675858193963063,1.46525485526121,15.9,,,,2.391,,,,,Q,
"  2135 Aristaeus (1977 HA)",1.599656659925497,.5030471578821998,23.05829075176519,191.2315248173385,290.85417427,.794953923562643,2.40435939628835,2.02324450693246,17.94,,,,,,,,,,
"  2201 Oljato (1947 XC)",2.171860123302457,.7127163540491576,2.523518263325149,74.99975650786388,98.20427605958818,.6239398947175762,3.719780351887338,3.20078114067492,15.25,1.80,,0.4328,26.,,,,,Sq,
"  2202 Pele (1972 RA)",2.291219711147645,.5114786878744549,8.736934410891903,169.9890375838711,217.9689284987963,1.11930965965776,3.46312976263753,3.46823332997208,17.1,,,,,,,,,,
"  2212 Hephaistos (1978 SB)",2.159317359673081,.8374066796405636,11.55430389131113,27.55742745351361,209.3535280292995,.3510905792190176,3.967544140127144,3.17309384490893,13.87,5.7,,,20.,,.766,.397,,,SG
"  2329 Orthos (1976 WA)",2.404924642839874,.6568762287917721,24.42117908011309,169.4500767679825,145.8216493450594,.8251868129228181,3.98466247275693,3.72958415446599,14.5,,,,,,,,,,
"  2340 Hathor (1976 UA)",.8442073413044002,.4497813874600241,5.853722125016997,211.4584174248647,40.02668200967265,.464498592028569,1.223916090580232,0.775678741176849,20.0,0.3,,,,,.770,.500,,Sq,CSU
"  2368 Beltrovata (1977 RA)",2.104712884739138,.413701333311725,5.236445193567253,287.5321125425987,42.63664976995612,1.23399035808419,2.975435411394086,3.05349695956495,15.21,2.3,,0.27,5.9,,.830,.520,,,SQ
